Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
6/29/2021,79547.15625,80070.46508,78858.50067,80070.46508,14280
6/30/2021,79405.60156,79970.85128,79198.85617,79624.24597,7178
7/1/2021,80336.49219,80782.26367,79425.92319,79425.92319,9204
7/2/2021,80459.46094,80803.84296,79921.72765,80339.28552,6768
7/5/2021,80150.14063,81139.14566,79921.72754,80506.76252,8057
7/6/2021,79772.1875,80699.11765,79673.81921,80209.27487,6734
7/7/2021,80089.1875,80665.25161,79624.43649,79921.71043,10475
7/8/2021,79741.20313,80655.44412,79425.92571,80318.35184,5867
7/9/2021,79321.52344,80020.78432,79207.78557,79921.72656,10267
7/12/2021,79512.28906,79802.92404,79207.77191,79624.23741,5751
7/13/2021,82416.35156,82747.74226,79327.86738,79763.02587,35724
7/14/2021,82109.21094,82655.48116,81687.34587,82301.53189,9792
7/15/2021,80759.8125,82554.3328,80433.37974,82109.15778,10241
7/16/2021,81756,82013.95917,80670.26138,81260.35491,11216
7/19/2021,81544.24219,82266.76647,80938.08965,81111.61694,7692
7/20/2021,80953.01563,82004.04885,80716.972,81509.24812,7135
7/22/2021,80885.53906,81706.57111,80558.85842,80963.37845,6118
7/23/2021,80491.74219,81279.95133,80318.36205,81190.91012,4471
7/26/2021,80236.82031,80912.87981,80020.9027,80664.44131,5993
7/27/2021,79421.32813,80635.62434,79275.06938,80243.99485,6581
7/28/2021,79250.17188,79867.18542,78534.54214,79580.16815,7559
7/29/2021,79054.59375,79622.07463,78783.34883,79329.06132,5158
7/30/2021,79235.00781,80457.18243,79042.48545,79291.77604,9818
8/2/2021,79744.07031,80665.35303,79458.93554,79821.56109,10580
8/3/2021,80336.59375,80536.49875,79834.95267,80120.03323,5106
8/4/2021,79918,81057.82274,79668.66911,80480.23619,6965
8/5/2021,79133.49219,80185.49644,78938.44636,80077.81885,8114
8/6/2021,78633.25781,79616.77546,78474.67099,79166.98957,10148
8/9/2021,79518.32813,82115.09301,78673.33632,78961.36132,64535
8/10/2021,78303.85156,80401.71394,77679.98111,79566.35303,22258
8/11/2021,77087.04688,79268.98688,76785.96091,78474.65604,16579
8/12/2021,77715.79688,78186.55177,77088.9463,77678.99635,13737
8/13/2021,78348.375,78673.34802,77946.36301,78027.67029,9067
8/16/2021,78135.72656,78822.33328,77590.57911,78426.68503,8280
8/17/2021,78213.00781,78638.60399,77411.87099,78135.72052,9035
8/18/2021,78819.50781,78971.34295,78375.33281,78573.00951,7011
